word,score
cares,2969.5
cores,2910.25
bares,2910.0
canes,2866.5
dares,2862.5
bores,2850.75
coles,2833.75
bales,2833.5
cries,2828.0
cones,2807.25
banes,2807.0
dales,2786.0
boles,2774.25
codes,2768.25
dates,2758.75
bones,2747.75
aloes,2744.5
doles,2726.75
dries,2721.0
capes,2718.5
cages,2718.25
bodes,2708.75
fares,2699.75
dotes,2699.5
cakes,2686.0
cafes,2683.5
caves,2683.25
cites,2675.5
comes,2667.0
tales,2663.0
copes,2659.25
rates,2655.5
cures,2654.75
biles,2643.25
bears,2629.5
cokes,2626.75
bakes,2626.5
aides,2624.5
coves,2624.0
roles,2623.5
dames,2619.25
races,2617.0
bites,2616.0
lanes,2612.75
coals,2612.25
beats,2612.0
coats,2609.0
tries,2598.0
fates,2596.0
acres,2591.5
