word1,word2,word3,first_word_score,second_word_score,first_word_score,score
crate,shiny,boule,2080.5,1673.75,1765.75,5152.0
shiny,trace,boule,1673.75,2053.5,1765.75,5126.8
crane,slide,pouty,2074.25,1915.75,1502.25,5126.099999999999
crone,shady,built,1970.75,1651.25,1496.75,5118.75
crony,suite,blade,1723.75,1978.0,1781.75,5117.933333333333
coupe,shalt,briny,1661.5,1795.25,1651.75,5108.5
briny,slate,coupe,1651.75,2160.0,1661.5,5108.366666666667
crane,pouty,slime,2074.25,1502.25,1895.75,5107.433333333333
brace,shiny,moult,1959.5,1673.75,1470.75,5104.0
crony,suite,blame,1723.75,1978.0,1761.75,5099.266666666666
crony,shame,built,1723.75,1878.25,1496.75,5098.75
crony,shape,built,1723.75,1877.5,1496.75,5098.0
crone,suite,badly,1970.75,1978.0,1507.75,5092.733333333334
crate,spiny,boule,2080.5,1606.0,1765.75,5088.766666666666
brine,shale,pouty,1898.75,2049.5,1502.25,5087.133333333333
crane,suite,godly,2074.25,1978.0,1396.75,5085.733333333334
crony,slate,guide,1723.75,2160.0,1563.75,5084.333333333334
briny,place,shout,1651.75,1863.25,1568.75,5083.75
briny,slate,pouch,1651.75,2160.0,1271.25,5083.0
daily,shone,truce,1702.0,1925.0,1819.0,5082.933333333333
crone,shady,guilt,1970.75,1651.25,1460.75,5082.75
count,shale,grimy,1558.25,2049.5,1465.5,5073.25
blade,shiny,court,1781.75,1673.75,1616.75,5072.25
brine,shady,clout,1898.75,1651.25,1520.0,5070.0
corny,suite,blade,1672.0,1978.0,1781.75,5069.633333333333
crate,slide,phony,2080.5,1915.75,1434.5,5068.7
brand,slice,pouty,1567.0,1999.0,1502.25,5068.25
grace,shiny,moult,1923.5,1673.75,1470.75,5068.0
crony,saute,glide,1723.75,2067.75,1638.0,5067.533333333333
corny,shade,built,1672.0,1898.25,1496.75,5067.0
gaily,shone,truce,1684.5,1925.0,1819.0,5066.599999999999
point,shade,curly,1615.5,1898.25,1551.5,5065.25
spiny,trace,boule,1606.0,2053.5,1765.75,5063.566666666667
boule,shiny,craft,1765.75,1673.75,1623.5,5063.0
crony,shame,guilt,1723.75,1878.25,1460.75,5062.75
crime,soapy,blunt,1816.25,1823.0,1423.25,5062.5
crone,shaky,built,1970.75,1595.0,1496.75,5062.5
crony,shape,guilt,1723.75,1877.5,1460.75,5062.0
crony,suite,flame,1723.75,1978.0,1721.25,5061.466666666667
boule,shady,print,1765.75,1651.25,1642.75,5059.75
crony,saute,plied,1723.75,2067.75,1629.5,5059.599999999999
crony,suite,whale,1723.75,1978.0,1718.75,5059.133333333333
crane,pouty,smile,2074.25,1502.25,1844.0,5059.133333333333
foamy,slice,brunt,1541.5,1999.0,1517.75,5058.25
price,shalt,boney,1850.0,1795.25,1771.75,5055.866666666667
grate,shiny,boule,1976.75,1673.75,1765.75,5055.166666666666
crone,suite,madly,1970.75,1978.0,1467.0,5054.7
prime,sadly,count,1746.75,1749.5,1558.25,5054.5
briny,slate,cough,1651.75,2160.0,1242.25,5054.0
print,sauce,godly,1642.75,2014.5,1396.75,5054.0
