word1,word2,first_word_score,second_word_score,score
crony,slate,1723.75,2160.0,3883.75
corny,slate,1672.0,2160.0,3832.0
crone,salty,1970.75,1844.0,3814.75
briny,slate,1651.75,2160.0,3811.75
irony,slate,1649.25,2160.0,3809.25
crony,stale,1723.75,2084.25,3808.0
crony,saute,1723.75,2067.75,3791.5
rainy,stole,1803.0,1980.75,3783.75
crony,shale,1723.75,2049.5,3773.25
soapy,trice,1823.0,1945.75,3768.75
crone,shalt,1970.75,1795.25,3766.0
corny,stale,1672.0,2084.25,3756.25
crate,shiny,2080.5,1673.75,3754.25
price,slant,1850.0,1899.5,3749.5
prone,salty,1901.25,1844.0,3745.25
chore,saint,1809.5,1934.0,3743.5
brine,salty,1898.75,1844.0,3742.75
corny,saute,1672.0,2067.75,3739.75
briny,stale,1651.75,2084.25,3736.0
irony,stale,1649.25,2084.25,3733.5
crate,slimy,2080.5,1648.75,3729.25
drone,salty,1884.5,1844.0,3728.5
shiny,trace,1673.75,2053.5,3727.25
crane,slimy,2074.25,1648.75,3723.0
brine,soapy,1898.75,1823.0,3721.75
corny,shale,1672.0,2049.5,3721.5
crone,sadly,1970.75,1749.5,3720.25
daily,store,1702.0,2018.25,3720.25
briny,saute,1651.75,2067.75,3719.5
crone,slate,1970.75,2160.0,3717.6749999999997
irony,saute,1649.25,2067.75,3717.0
crime,slant,1816.25,1899.5,3715.75
grant,slice,1716.25,1999.0,3715.25
horny,slate,1553.25,2160.0,3713.25
cruel,saint,1776.75,1934.0,3710.75
chore,slant,1809.5,1899.5,3709.0
brine,coast,1898.75,1808.0,3706.75
crane,sloth,2074.25,1631.75,3706.0
clone,stair,1876.25,1826.75,3703.0
gaily,store,1684.5,2018.25,3702.75
point,share,1615.5,2087.0,3702.5
rainy,slope,1803.0,1899.25,3702.25
slimy,trace,1648.75,2053.5,3702.25
shone,trail,1925.0,1777.0,3702.0
crony,suite,1723.75,1978.0,3701.75
briny,shale,1651.75,2049.5,3701.25
boule,saint,1765.75,1934.0,3699.75
dairy,stone,1739.5,1959.75,3699.25
irony,shale,1649.25,2049.5,3698.75
fairy,stole,1717.5,1980.75,3698.25
